Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Age,Customer_Tenure_Days,Total_Children,Family_Size,Total_Spending,Total_Purchases,Total_Campaign_Acceptance,Avg_Spending_Per_Purchase,Digital_Engagement,Deal_Dependency,Education_Encoded,Customer_Activity_Level_Encoded,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Preferred_Shopping_Channel_Catalog,Preferred_Shopping_Channel_Deals,Preferred_Shopping_Channel_None,Preferred_Shopping_Channel_Store,Preferred_Shopping_Channel_Web,Product_Preference_Fish,Product_Preference_Fruits,Product_Preference_Gold,Product_Preference_Meat,Product_Preference_Sweets,Product_Preference_Wines,Income_log,Total_Spending_log,Avg_Spending_Per_Purchase_log,MntWines_log,MntFruits_log,MntMeatProducts_log,MntFishProducts_log,MntSweetProducts_log,MntGoldProds_log,Customer_Age_scaled,Customer_Tenure_Days_scaled,Recency_scaled,Total_Purchases_scaled,Digital_Engagement_scaled,Deal_Dependency_scaled,Income_log_scaled,Total_Spending_log_scaled,Avg_Spending_Per_Purchase_log_scaled,MntWines_log_scaled,MntFruits_log_scaled,MntMeatProducts_log_scaled,MntFishProducts_log_scaled,MntSweetProducts_log_scaled,MntGoldProds_log_scaled,Total_Children_scaled,Family_Size_scaled,Total_Campaign_Acceptance_scaled,NumDealsPurchases_scaled,NumWebPurchases_scaled,NumCatalogPurchases_scaled,NumStorePurchases_scaled,NumWebVisitsMonth_scaled,Education_Encoded_scaled,Customer_Activity_Level_Encoded_scaled
58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,664,0,1,1617,25,1,64.68,15,0.12,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10.970591974102547,7.388946097618437,4.184794465144173,6.455198563340122,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,4.48863636973214,0.7222222222222222,0.882183908045977,0.18,0.7692307692307693,1.5,-0.2696296296296296,0.18931337139047458,0.5195593751608556,0.6737795444066993,0.4293243030799417,0.8087678244220687,0.7964401784031099,1.0168180866247318,0.8087678244220687,0.7295519805090722,-1.0,-2.0,1.0,0.5,1.0,2.0,-0.2,0.25,0.0,0.0
46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,114,2,3,27,6,0,4.5,6,0.3333333333333333,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,10.743868690309933,3.332204510175204,1.7047480922384253,2.4849066497880004,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,1.9459101490553132,0.8888888888888888,-0.6982758620689655,-0.22,-0.6923076923076923,-0.75,0.9629629629629629,-0.15765665527776215,-0.9805853917736835,-1.0104600024643449,-0.8916042300028858,-0.5308733279587541,-0.8685062832737553,-0.576043627965019,-0.5308733279587541,-0.731393516412085,1.0,0.0,0.0,0.0,-0.75,-0.25,-0.6,-0.25,0.0,0.0
71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,313,0,2,776,21,0,36.95238095238095,12,0.047619047619047616,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,11.179045864561353,6.655440350367647,3.6363322410667918,6.056784013228625,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,0.2777777777777778,-0.12643678160919541,-0.46,0.46153846153846156,0.75,-0.6878306878306878,0.5083245056758617,0.2483158698657138,0.30130998986620444,0.29677053658200475,0.6052486063887117,0.2416213964965861,0.846011808166154,0.3154784929617928,0.31159714487129303,-1.0,-1.0,0.0,-0.5,1.0,0.0,1.0,-0.5,0.0,0.5
26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,140,1,3,53,8,0,6.625,8,0.25,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10.190431852901,3.9889840465642745,2.031432322493475,2.4849066497880004,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,-0.7777777777777778,-0.6235632183908046,-0.46,-0.5384615384615384,-0.25,0.48148148148148157,-1.0046186038820795,-0.7377145154049668,-0.7886034654472479,-0.8916042300028858,-0.20746290290324726,-0.448840246502505,-0.06562641226476575,-0.2862227858405282,-0.8199621321402158,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.2,0.0,0.0,0.5
58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,162,1,3,422,19,0,22.210526315789473,10,0.2631578947368421,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10.973254451090401,6.0473721790462776,3.1446058962804053,5.159055299214529,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,2.772588722239781,-0.6111111111111112,-0.5603448275862069,0.9,0.3076923076923077,0.25,0.557504873294347,0.1933879406011272,0.0234579967463868,-0.03262931271112395,-0.0019066133931049845,0.5601290350800188,0.2137712660416344,0.5048840918141492,0.40059811775913484,-0.25641814192069373,0.0,0.0,0.0,1.5,0.25,0.25,0.2,-0.25,2.0,-0.5
62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,294,1,3,716,22,0,32.54545454545455,12,0.09090909090909091,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,11.043145810640238,6.57507584059962,3.512901371242157,6.255750041753367,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,2.70805020110221,0.16666666666666666,-0.1810344827586207,-0.66,0.5384615384615384,0.75,-0.43771043771043766,0.3003474309597276,0.21859783232816687,0.21748609264618157,0.3629671563558302,0.5520147438379108,0.14348252050682764,-1.007628303794069,0.5520147438379108,-0.2934993113628321,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.5
55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,594,1,2,590,21,0,28.095238095238095,13,0.19047619047619047,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.926585752727021,6.3818160174060985,3.370574521448172,5.4638318050256105,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,-0.05555555555555555,0.6810344827586207,-0.3,0.46153846153846156,1.0,0.13756613756613756,0.12196766454987966,0.14713217296257322,0.12082963024151103,0.09949348299904068,0.7032404280002826,0.33861611515009493,0.5369709225380106,0.6052486063887117,0.06511398322198858,0.0,-1.0,0.0,1.0,0.75,0.25,0.4,0.0,0.0,0.0
33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,418,1,3,169,10,0,16.9,12,0.2,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.417956531216918,5.135798437050262,2.884800712846709,4.343805421853684,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,-0.8333333333333334,0.1752873563218391,-0.34,-0.38461538461538464,0.75,0.1925925925925927,-0.6564221487920628,-0.3136333730768812,-0.20906720887369978,-0.27314279653681545,0.07082795084356677,-0.06740573948219951,-0.4630290774619893,-0.5308733279587541,-0.02345463250614205,0.0,0.0,0.0,0.0,0.0,-0.5,-0.2,0.5,2.0,0.0
30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,389,1,3,46,6,1,7.666666666666667,12,0.16666666666666666,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10.320617692174796,3.8501476017100584,2.1594842493533726,2.70805020110221,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.0986122886681098,-0.2222222222222222,0.09195402298850575,-0.6,-0.6923076923076923,0.75,0.0,-0.8053863796083087,-0.7890549229015935,-0.7016413337602555,-0.8173636728039921,-0.7755238700769802,-0.38223786481114475,-0.4630290774619893,-0.2862227858405282,-1.2182158819572526,0.0,0.0,1.0,-0.5,-0.25,-0.5,-0.6,0.75,2.0,0.5
5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,109,2,4,49,2,1,24.5,21,0.5,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,8.639233817325263,3.912023005428146,3.2386784521643803,3.367295829986474,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,2.6390573296152584,1.1111111111111112,-0.7126436781609196,0.38,-1.0,3.0,1.9259259259259263,-3.378522222284785,-0.7661739823514333,0.0312568793480148,-0.5980305908885469,-0.7755238700769802,-0.8685062832737553,-0.7353286906280291,-0.5308733279587541,-0.3331397665950483,1.0,1.0,1.0,-0.5,-0.75,-0.5,-1.0,3.5,2.0,-0.5
